,Name,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Pk,Tm,Year,Pos
417,Jeff Withey,Kansas,117.0,19.8,2.8,4.9,0.568,2.8,4.9,0.5670000000000001,0.0,0.0,1.0,2.4,3.3,0.726,5.4,0.6,0.5,2.7,1.2,1.8,8.0,8.34,2.6,0.4,0.3,0.9,3.3,39,POR,2013,C
418,Grant Jerrett,Arizona,34.0,17.8,1.9,4.5,0.409,0.9,2.2,0.413,0.9,2.3,0.405,0.5,0.6,0.818,3.6,0.5,0.5,1.0,0.6,1.3,5.2,7.47,1.1,0.4,0.3,0.3,2.0,40,POR,2013,PF
419,Jamaal Franklin,San Diego State,85.0,25.9,4.3,10.0,0.426,3.1,6.2,0.504,1.2,3.8,0.302,4.0,5.1,0.78,7.0,1.9,1.0,0.6,2.6,2.1,13.7,5.45,1.1,0.3,0.2,0.1,1.9,41,MEM,2013,SG
420,Pierre Jackson,Baylor,74.0,32.8,5.3,11.9,0.441,3.1,6.4,0.496,2.1,5.6,0.379,4.0,5.0,0.8079999999999999,3.3,6.5,1.6,0.0,3.5,2.3,16.7,7.58,1.1,2.4,0.3,0.0,4.4,42,PHI,2013,PG
421,Mike Muscala,Bucknell,133.0,28.7,5.4,10.8,0.501,5.3,10.3,0.51,0.2,0.5,0.313,4.3,5.2,0.8190000000000001,8.2,1.6,0.4,2.0,1.6,2.3,15.3,-3.94,2.6,0.4,0.2,0.5,3.8,44,DAL,2013,PF
422,Erick Green,Virginia Tech,129.0,28.3,4.6,10.5,0.4370000000000001,3.5,7.3,0.48,1.1,3.2,0.338,3.2,4.0,0.804,2.6,2.5,1.2,0.2,1.4,1.6,13.5,5.97,0.7,0.9,0.3,0.0,3.4,46,UTA,2013,PG
423,Ryan Kelly,Eastern Illinois,41.0,16.3,0.7,1.2,0.529,0.7,1.2,0.54,0.0,0.0,0.0,0.4,0.9,0.474,1.9,0.4,0.2,0.3,0.6,2.2,1.8,-2.08,3.7,1.6,0.5,0.8,8.0,48,LAL,2013,PF
424,James Ennis,Long Beach State,67.0,31.0,4.5,9.0,0.493,3.0,4.9,0.611,1.5,4.1,0.354,2.8,3.6,0.7879999999999999,5.4,2.4,1.7,1.0,2.5,2.4,13.2,1.39,2.8,0.8,0.4,0.3,5.0,50,ATL,2013,SF
425,Lorenzo Brown,NC State,101.0,32.6,4.1,9.5,0.429,3.4,7.4,0.464,0.6,2.1,0.305,2.8,3.8,0.741,4.2,5.8,1.7,0.5,3.0,1.9,11.6,6.92,1.1,1.6,0.5,0.1,2.5,52,MIN,2013,PG
426,Peyton Siva,Louisville,144.0,26.2,2.9,6.9,0.417,2.2,4.5,0.482,0.7,2.4,0.29100000000000004,2.0,2.8,0.737,2.4,4.7,1.8,0.1,2.7,2.6,8.4,8.58,0.6,1.4,0.4,0.0,2.3,56,DET,2013,SG
